,Store/Product,MAPE,R^2
451,Store_21 - LIQUOR_WINE_BEER,42.92,0.36321
452,Store_21 - MAGAZINES,65.35,0.10456
453,Store_21 - MEATS,24.88,0.284
454,Store_21 - PERSONAL_CARE,14.33,0.63896
455,Store_21 - PET_SUPPLIES,73.43,0.00746
456,Store_21 - PLAYERS_AND_ELECTRONICS,61.2,0.4405
457,Store_21 - POULTRY,17.3,0.41317
458,Store_21 - PREPARED_FOODS,13.88,0.34132
459,Store_21 - PRODUCE,12.98,0.84247
460,Store_21 - SCHOOL_AND_OFFICE_SUPPLIES,555.81,0.00952
461,Store_21 - SEAFOOD,90.15,0.45563
462,Store_22 - AUTOMOTIVE,81.08,0.26931
463,Store_22 - BABY_CARE,90.67,0.21439
464,Store_22 - BEAUTY,49.58,0.0843
465,Store_22 - BEVERAGES,22.99,0.00012
466,Store_22 - BOOKS,,
467,Store_22 - BREAD/BAKERY,24.93,0.11677
468,Store_22 - CELEBRATION,143.44,0.07886
469,Store_22 - CLEANING,20.47,0.34397
470,Store_22 - DAIRY,12.37,0.24321
471,Store_22 - DELI,22.59,0.02376
472,Store_22 - EGGS,64.91,0.00502
473,Store_22 - FROZEN_FOODS,19.26,0.77713
474,Store_22 - GROCERY_I,15.1,0.00418
475,Store_22 - GROCERY_II,121.64,0.29473
476,Store_22 - HARDWARE,53.05,0.01035
477,Store_22 - HOME_AND_KITCHEN_I,38.73,0.14489
478,Store_22 - HOME_AND_KITCHEN_II,26.07,0.10856
479,Store_22 - HOME_APPLIANCES,,
480,Store_22 - HOME_CARE,17.23,0.01204
481,Store_22 - LADIESWEAR,504.97,0.03402
482,Store_22 - LAWN_AND_GARDEN,,
483,Store_22 - LINGERIE,199.58,0.01516
484,Store_22 - LIQUOR_WINE_BEER,72.68,0.54809
485,Store_22 - MAGAZINES,53.63,0.84058
486,Store_22 - MEATS,52.38,0.00053
487,Store_22 - PERSONAL_CARE,21.73,0.13174
488,Store_22 - PET_SUPPLIES,55.55,0.0931
489,Store_22 - PLAYERS_AND_ELECTRONICS,68.54,0.16803
490,Store_22 - POULTRY,51.66,0.04412
491,Store_22 - PREPARED_FOODS,57.5,0.00159
492,Store_22 - PRODUCE,23.82,0.3596
493,Store_22 - SCHOOL_AND_OFFICE_SUPPLIES,18.09,0.96659
494,Store_22 - SEAFOOD,91.76,0.10219
495,Store_23 - AUTOMOTIVE,49.67,0.00036
496,Store_23 - BABY_CARE,,
497,Store_23 - BEAUTY,53.06,0.57622
498,Store_23 - BEVERAGES,16.84,0.18271
499,Store_23 - BOOKS,102.72,0.02625
500,Store_23 - BREAD/BAKERY,17.92,0.01379
501,Store_23 - CELEBRATION,211.38,0.09215
502,Store_23 - CLEANING,13.23,0.26316
503,Store_23 - DAIRY,10.29,0.10588
504,Store_23 - DELI,14.05,0.15267
505,Store_23 - EGGS,14.88,0.00724
506,Store_23 - FROZEN_FOODS,36.74,0.0155
507,Store_23 - GROCERY_I,8.91,0.07319
508,Store_23 - GROCERY_II,42.55,0.14771
509,Store_23 - HARDWARE,70.81,0.00204
510,Store_23 - HOME_AND_KITCHEN_I,51.24,0.05187
511,Store_23 - HOME_AND_KITCHEN_II,149.59,0.01342
512,Store_23 - HOME_APPLIANCES,52.26,0.02267
513,Store_23 - HOME_CARE,24.0,0.09737
514,Store_23 - LADIESWEAR,31.99,0.31004
515,Store_23 - LAWN_AND_GARDEN,99.66,0.09262
516,Store_23 - LINGERIE,85.28,0.00407
517,Store_23 - LIQUOR_WINE_BEER,36.41,0.54265
518,Store_23 - MAGAZINES,51.96,0.3998
519,Store_23 - MEATS,25.1,0.44487
520,Store_23 - PERSONAL_CARE,21.42,0.36409
521,Store_23 - PET_SUPPLIES,53.17,0.06129
522,Store_23 - PLAYERS_AND_ELECTRONICS,98.81,0.01644
523,Store_23 - POULTRY,20.84,0.42349
524,Store_23 - PREPARED_FOODS,27.73,0.01894
525,Store_23 - PRODUCE,13.78,0.41474
526,Store_23 - SCHOOL_AND_OFFICE_SUPPLIES,,
527,Store_23 - SEAFOOD,56.11,0.00356
528,Store_24 - AUTOMOTIVE,64.84,0.10379
529,Store_24 - BABY_CARE,319.58,0.11172
530,Store_24 - BEAUTY,70.67,0.0876
531,Store_24 - BEVERAGES,12.41,0.59746
532,Store_24 - BOOKS,,
533,Store_24 - BREAD/BAKERY,7.29,0.51961
534,Store_24 - CELEBRATION,44.32,0.11678
535,Store_24 - CLEANING,8.47,0.53012
536,Store_24 - DAIRY,9.6,0.31951
537,Store_24 - DELI,6.53,0.62729
538,Store_24 - EGGS,7.11,0.57927
539,Store_24 - FROZEN_FOODS,20.39,0.25672
540,Store_24 - GROCERY_I,5.75,0.66217
541,Store_24 - GROCERY_II,47.76,0.09375
542,Store_24 - HARDWARE,154.97,0.08899
543,Store_24 - HOME_AND_KITCHEN_I,29.98,0.00188
544,Store_24 - HOME_AND_KITCHEN_II,46.23,0.08523
545,Store_24 - HOME_APPLIANCES,,
546,Store_24 - HOME_CARE,26.33,0.07554
547,Store_24 - LADIESWEAR,128.85,0.01382
548,Store_24 - LAWN_AND_GARDEN,34.79,0.13288
549,Store_24 - LINGERIE,117.68,0.13652
550,Store_24 - LIQUOR_WINE_BEER,48.55,0.65931
551,Store_24 - MAGAZINES,57.12,0.02419
552,Store_24 - MEATS,11.15,0.85776
553,Store_24 - PERSONAL_CARE,10.91,0.39818
554,Store_24 - PET_SUPPLIES,38.91,0.01154
555,Store_24 - PLAYERS_AND_ELECTRONICS,88.88,0.00445
556,Store_24 - POULTRY,11.58,0.65847
557,Store_24 - PREPARED_FOODS,13.41,0.34269
558,Store_24 - PRODUCE,10.09,0.85592
559,Store_24 - SCHOOL_AND_OFFICE_SUPPLIES,,
560,Store_24 - SEAFOOD,26.92,0.30607
561,Store_25 - AUTOMOTIVE,76.09,1e-05
562,Store_25 - BABY_CARE,58.01,0.05114
563,Store_25 - BEAUTY,52.36,0.05184
564,Store_25 - BEVERAGES,33.23,0.2965
565,Store_25 - BOOKS,,
566,Store_25 - BREAD/BAKERY,19.61,0.22533
567,Store_25 - CELEBRATION,61.9,0.55849
568,Store_25 - CLEANING,28.99,0.21291
569,Store_25 - DAIRY,22.89,0.25214
570,Store_25 - DELI,29.0,0.45405
571,Store_25 - EGGS,37.06,0.18027
572,Store_25 - FROZEN_FOODS,55.37,0.61363
573,Store_25 - GROCERY_I,23.62,0.18562
574,Store_25 - GROCERY_II,38.2,0.00179
575,Store_25 - HARDWARE,47.95,0.3576
576,Store_25 - HOME_AND_KITCHEN_I,57.9,0.00499
577,Store_25 - HOME_AND_KITCHEN_II,41.12,0.02009
578,Store_25 - HOME_APPLIANCES,,
579,Store_25 - HOME_CARE,19.65,0.29761
580,Store_25 - LADIESWEAR,,
581,Store_25 - LAWN_AND_GARDEN,58.27,0.54036
582,Store_25 - LINGERIE,91.16,0.00063
583,Store_25 - LIQUOR_WINE_BEER,60.75,0.61663
584,Store_25 - MAGAZINES,63.59,0.29461
585,Store_25 - MEATS,32.1,0.77922
586,Store_25 - PERSONAL_CARE,16.11,0.11797
587,Store_25 - PET_SUPPLIES,67.62,0.0696
588,Store_25 - PLAYERS_AND_ELECTRONICS,85.69,0.0799
589,Store_25 - POULTRY,30.22,0.62961
590,Store_25 - PREPARED_FOODS,35.97,0.1623
591,Store_25 - PRODUCE,22.87,0.51332
592,Store_25 - SCHOOL_AND_OFFICE_SUPPLIES,60.03,0.01775
593,Store_25 - SEAFOOD,70.3,0.33895
594,Store_26 - AUTOMOTIVE,114.23,0.32113
595,Store_26 - BABY_CARE,,
596,Store_26 - BEAUTY,106.23,0.45055
597,Store_26 - BEVERAGES,34.82,0.46207
598,Store_26 - BOOKS,,
599,Store_26 - BREAD/BAKERY,11.79,0.50834
600,Store_26 - CELEBRATION,157.37,0.2127
601,Store_26 - CLEANING,26.09,0.55038
602,Store_26 - DAIRY,19.66,0.60112
603,Store_26 - DELI,20.97,0.52196
604,Store_26 - EGGS,21.11,0.47864
605,Store_26 - FROZEN_FOODS,115.84,0.01134
606,Store_26 - GROCERY_I,20.59,0.4456
607,Store_26 - GROCERY_II,200.8,0.67354
608,Store_26 - HARDWARE,107.33,0.1669
609,Store_26 - HOME_AND_KITCHEN_I,54.34,0.15065
610,Store_26 - HOME_AND_KITCHEN_II,56.63,0.44696
611,Store_26 - HOME_APPLIANCES,88.98,0.29392
612,Store_26 - HOME_CARE,26.18,0.21727
613,Store_26 - LADIESWEAR,1078.38,0.00038
614,Store_26 - LAWN_AND_GARDEN,82.39,0.02319
615,Store_26 - LINGERIE,74.82,0.02937
616,Store_26 - LIQUOR_WINE_BEER,137.42,0.31179
617,Store_26 - MAGAZINES,424.64,0.00215
618,Store_26 - MEATS,12.61,0.72043
619,Store_26 - PERSONAL_CARE,31.71,0.3258
620,Store_26 - PET_SUPPLIES,103.69,0.04032
621,Store_26 - PLAYERS_AND_ELECTRONICS,41.19,0.19192
622,Store_26 - POULTRY,21.42,0.54711
623,Store_26 - PREPARED_FOODS,23.79,0.2339
624,Store_26 - PRODUCE,15.22,0.75739
625,Store_26 - SCHOOL_AND_OFFICE_SUPPLIES,64.8,0.06957
626,Store_26 - SEAFOOD,93.46,0.21232
627,Store_27 - AUTOMOTIVE,83.24,0.45833
628,Store_27 - BABY_CARE,69.95,0.03636
629,Store_27 - BEAUTY,85.09,0.05782
630,Store_27 - BEVERAGES,15.18,0.78165
631,Store_27 - BOOKS,283.7,0.09186
632,Store_27 - BREAD/BAKERY,18.51,0.6753
633,Store_27 - CELEBRATION,69.85,0.15777
634,Store_27 - CLEANING,21.52,0.32789
635,Store_27 - DAIRY,11.7,0.73426
636,Store_27 - DELI,10.67,0.67142
637,Store_27 - EGGS,9.28,0.76033
638,Store_27 - FROZEN_FOODS,14.38,0.80586
639,Store_27 - GROCERY_I,9.63,0.746
640,Store_27 - GROCERY_II,30.55,0.11783
641,Store_27 - HARDWARE,82.34,0.10001
642,Store_27 - HOME_AND_KITCHEN_I,36.31,0.14824
643,Store_27 - HOME_AND_KITCHEN_II,36.17,0.00191
644,Store_27 - HOME_APPLIANCES,89.75,0.23935
645,Store_27 - HOME_CARE,30.01,0.52845
646,Store_27 - LADIESWEAR,91.35,0.8524
647,Store_27 - LAWN_AND_GARDEN,23.14,0.3678
648,Store_27 - LINGERIE,38.79,0.13393
649,Store_27 - LIQUOR_WINE_BEER,35.16,0.76421
650,Store_27 - MAGAZINES,61.19,0.12516
651,Store_27 - MEATS,9.97,0.7236
652,Store_27 - PERSONAL_CARE,16.18,0.63933
653,Store_27 - PET_SUPPLIES,36.0,0.08057
654,Store_27 - PLAYERS_AND_ELECTRONICS,28.47,0.24755
655,Store_27 - POULTRY,10.49,0.67077
656,Store_27 - PREPARED_FOODS,12.63,0.73338
657,Store_27 - PRODUCE,10.11,0.81791
658,Store_27 - SCHOOL_AND_OFFICE_SUPPLIES,52.74,0.07315
659,Store_27 - SEAFOOD,32.01,0.32158
660,Store_28 - AUTOMOTIVE,113.86,0.03598
661,Store_28 - BABY_CARE,,
662,Store_28 - BEAUTY,65.88,0.54675
663,Store_28 - BEVERAGES,13.92,0.63577
664,Store_28 - BOOKS,,
665,Store_28 - BREAD/BAKERY,15.54,0.7823
666,Store_28 - CELEBRATION,75.35,0.54675
667,Store_28 - CLEANING,20.05,0.5536
668,Store_28 - DAIRY,19.48,0.75393
669,Store_28 - DELI,14.23,0.73626
670,Store_28 - EGGS,27.11,0.67218
671,Store_28 - FROZEN_FOODS,35.98,0.5195
672,Store_28 - GROCERY_I,17.62,0.59417
673,Store_28 - GROCERY_II,48.17,0.6734
674,Store_28 - HARDWARE,88.81,0.0158
675,Store_28 - HOME_AND_KITCHEN_I,45.18,0.35261
676,Store_28 - HOME_AND_KITCHEN_II,49.45,0.02941
677,Store_28 - HOME_APPLIANCES,64.88,0.20426
678,Store_28 - HOME_CARE,19.12,0.53293
679,Store_28 - LADIESWEAR,,
680,Store_28 - LAWN_AND_GARDEN,112.73,0.02716
681,Store_28 - LINGERIE,87.86,0.01343
682,Store_28 - LIQUOR_WINE_BEER,81.6,0.63314
683,Store_28 - MAGAZINES,55.77,0.05884
684,Store_28 - MEATS,20.45,0.47122
685,Store_28 - PERSONAL_CARE,39.77,0.20926
686,Store_28 - PET_SUPPLIES,54.83,0.13536
687,Store_28 - PLAYERS_AND_ELECTRONICS,107.75,0.15598
688,Store_28 - POULTRY,25.74,0.36553
689,Store_28 - PREPARED_FOODS,23.74,0.27253
690,Store_28 - PRODUCE,16.54,0.85049
691,Store_28 - SCHOOL_AND_OFFICE_SUPPLIES,169.74,0.13281
692,Store_28 - SEAFOOD,59.84,0.3065
693,Store_29 - AUTOMOTIVE,120.19,0.02335
694,Store_29 - BABY_CARE,71.87,0.02918
695,Store_29 - BEAUTY,33.44,0.41297
696,Store_29 - BEVERAGES,14.69,0.54534
697,Store_29 - BOOKS,,
698,Store_29 - BREAD/BAKERY,13.46,0.68751
699,Store_29 - CELEBRATION,25.23,0.61366
700,Store_29 - CLEANING,13.03,0.70202
701,Store_29 - DAIRY,13.44,0.79009
702,Store_29 - DELI,14.19,0.4864
703,Store_29 - EGGS,14.2,0.84651
704,Store_29 - FROZEN_FOODS,42.13,0.79083
705,Store_29 - GROCERY_I,8.64,0.78176
706,Store_29 - GROCERY_II,32.5,0.39524
707,Store_29 - HARDWARE,41.12,0.21592
708,Store_29 - HOME_AND_KITCHEN_I,38.76,0.12064
709,Store_29 - HOME_AND_KITCHEN_II,29.96,0.3442
710,Store_29 - HOME_APPLIANCES,,
711,Store_29 - HOME_CARE,9.74,0.78853
712,Store_29 - LADIESWEAR,,
713,Store_29 - LAWN_AND_GARDEN,55.04,0.1934
714,Store_29 - LINGERIE,64.41,0.06476
715,Store_29 - LIQUOR_WINE_BEER,89.14,0.61913
716,Store_29 - MAGAZINES,50.89,0.24008
717,Store_29 - MEATS,11.17,0.51727
718,Store_29 - PERSONAL_CARE,24.32,0.2587
719,Store_29 - PET_SUPPLIES,96.98,0.15914
720,Store_29 - PLAYERS_AND_ELECTRONICS,87.11,0.22612
721,Store_29 - POULTRY,15.77,0.45194
722,Store_29 - PREPARED_FOODS,13.12,0.56233
723,Store_29 - PRODUCE,9.23,0.96396
724,Store_29 - SCHOOL_AND_OFFICE_SUPPLIES,143.5,0.00048
725,Store_29 - SEAFOOD,37.9,0.27477
726,Store_3 - AUTOMOTIVE,40.41,0.12602
727,Store_3 - BABY_CARE,112.89,0.08628
728,Store_3 - BEAUTY,15.15,0.58673
729,Store_3 - BEVERAGES,16.74,0.59882
730,Store_3 - BOOKS,,
731,Store_3 - BREAD/BAKERY,16.23,0.55435
732,Store_3 - CELEBRATION,131.06,0.57643
733,Store_3 - CLEANING,19.96,0.30163
734,Store_3 - DAIRY,11.18,0.60313
735,Store_3 - DELI,12.8,0.56557
736,Store_3 - EGGS,8.15,0.82283
737,Store_3 - FROZEN_FOODS,19.62,0.26542
738,Store_3 - GROCERY_I,14.32,0.49538
739,Store_3 - GROCERY_II,25.65,0.04905
740,Store_3 - HARDWARE,91.22,0.015
741,Store_3 - HOME_AND_KITCHEN_I,26.15,0.32778
742,Store_3 - HOME_AND_KITCHEN_II,23.93,0.01077
743,Store_3 - HOME_APPLIANCES,2054.32,0.1527
744,Store_3 - HOME_CARE,26.13,0.30798
745,Store_3 - LADIESWEAR,18.09,0.73172
746,Store_3 - LAWN_AND_GARDEN,23.14,0.62297
747,Store_3 - LINGERIE,40.03,0.00282
748,Store_3 - LIQUOR_WINE_BEER,24.94,0.66105
749,Store_3 - MAGAZINES,28.37,0.23141
750,Store_3 - MEATS,9.87,0.92564
751,Store_3 - PERSONAL_CARE,13.29,0.77428
752,Store_3 - PET_SUPPLIES,30.12,0.07368
753,Store_3 - PLAYERS_AND_ELECTRONICS,15.08,0.61986
754,Store_3 - POULTRY,12.18,0.65444
755,Store_3 - PREPARED_FOODS,23.26,0.27619
756,Store_3 - PRODUCE,8.08,0.75863
757,Store_3 - SCHOOL_AND_OFFICE_SUPPLIES,111.44,0.01432
758,Store_3 - SEAFOOD,16.33,0.41425
759,Store_30 - AUTOMOTIVE,72.64,0.03137
760,Store_30 - BABY_CARE,41.69,0.04256
761,Store_30 - BEAUTY,93.61,0.17971
762,Store_30 - BEVERAGES,21.33,0.18171
763,Store_30 - BOOKS,,
764,Store_30 - BREAD/BAKERY,8.34,0.72265
765,Store_30 - CELEBRATION,93.36,0.00018
766,Store_30 - CLEANING,91.43,0.00125
767,Store_30 - DAIRY,14.15,0.60735
768,Store_30 - DELI,14.23,0.19081
769,Store_30 - EGGS,32.71,0.43249
770,Store_30 - FROZEN_FOODS,40.34,0.33959
771,Store_30 - GROCERY_I,16.27,0.06964
772,Store_30 - GROCERY_II,77.08,0.3689
773,Store_30 - HARDWARE,238.69,0.02962
774,Store_30 - HOME_AND_KITCHEN_I,60.15,0.00011
775,Store_30 - HOME_AND_KITCHEN_II,53.36,0.38749
776,Store_30 - HOME_APPLIANCES,194.52,0.32042
777,Store_30 - HOME_CARE,32.84,0.08733
778,Store_30 - LADIESWEAR,116.98,0.30944
779,Store_30 - LAWN_AND_GARDEN,,
780,Store_30 - LINGERIE,71.2,0.06695
781,Store_30 - LIQUOR_WINE_BEER,71.63,0.47448
782,Store_30 - MAGAZINES,67.36,0.08033
783,Store_30 - MEATS,14.09,0.89065
784,Store_30 - PERSONAL_CARE,45.13,0.09742
785,Store_30 - PET_SUPPLIES,44.75,0.12524
786,Store_30 - PLAYERS_AND_ELECTRONICS,47.94,0.13761
787,Store_30 - POULTRY,18.58,0.12361
788,Store_30 - PREPARED_FOODS,28.88,0.19498
789,Store_30 - PRODUCE,12.41,0.95079
790,Store_30 - SCHOOL_AND_OFFICE_SUPPLIES,257.45,0.00095
791,Store_30 - SEAFOOD,64.9,3e-05
792,Store_31 - AUTOMOTIVE,36.83,0.07828
793,Store_31 - BABY_CARE,103.52,0.26919
794,Store_31 - BEAUTY,132.04,0.09054
795,Store_31 - BEVERAGES,11.45,0.36848
796,Store_31 - BOOKS,,
797,Store_31 - BREAD/BAKERY,10.52,0.60166
798,Store_31 - CELEBRATION,48.76,0.11219
799,Store_31 - CLEANING,38.28,0.45366
800,Store_31 - DAIRY,9.91,0.77541
801,Store_31 - DELI,13.6,0.56359
802,Store_31 - EGGS,14.07,0.71652
803,Store_31 - FROZEN_FOODS,38.93,0.57528
804,Store_31 - GROCERY_I,9.13,0.56278
805,Store_31 - GROCERY_II,56.24,0.00032
806,Store_31 - HARDWARE,143.8,0.00332
807,Store_31 - HOME_AND_KITCHEN_I,34.53,0.53843
808,Store_31 - HOME_AND_KITCHEN_II,29.25,0.21659
809,Store_31 - HOME_APPLIANCES,,
810,Store_31 - HOME_CARE,16.11,0.50451
811,Store_31 - LADIESWEAR,227.24,0.00467
812,Store_31 - LAWN_AND_GARDEN,52.32,0.02081
813,Store_31 - LINGERIE,81.63,0.00019
814,Store_31 - LIQUOR_WINE_BEER,65.22,0.22748
815,Store_31 - MAGAZINES,49.75,0.16715
816,Store_31 - MEATS,8.67,0.91414
817,Store_31 - PERSONAL_CARE,21.88,0.69518
818,Store_31 - PET_SUPPLIES,46.59,0.11619
819,Store_31 - PLAYERS_AND_ELECTRONICS,72.96,0.3806
820,Store_31 - POULTRY,15.01,0.23456
821,Store_31 - PREPARED_FOODS,21.15,0.59713
822,Store_31 - PRODUCE,7.85,0.9525
823,Store_31 - SCHOOL_AND_OFFICE_SUPPLIES,101.52,0.46734
824,Store_31 - SEAFOOD,57.97,0.28214
825,Store_32 - AUTOMOTIVE,58.64,0.00288
826,Store_32 - BABY_CARE,,
827,Store_32 - BEAUTY,54.49,0.01552
828,Store_32 - BEVERAGES,20.06,0.01143
829,Store_32 - BOOKS,,
830,Store_32 - BREAD/BAKERY,17.68,0.32544
831,Store_32 - CELEBRATION,96.9,0.01961
832,Store_32 - CLEANING,45.92,0.26473
833,Store_32 - DAIRY,14.28,0.69704
834,Store_32 - DELI,16.26,0.55414
835,Store_32 - EGGS,25.96,0.92587
836,Store_32 - FROZEN_FOODS,26.38,0.04639
837,Store_32 - GROCERY_I,12.55,0.26961
838,Store_32 - GROCERY_II,69.91,0.05741
839,Store_32 - HARDWARE,95.18,0.00647
840,Store_32 - HOME_AND_KITCHEN_I,57.32,0.10618
841,Store_32 - HOME_AND_KITCHEN_II,95.01,0.04282
842,Store_32 - HOME_APPLIANCES,47.9,0.04483
843,Store_32 - HOME_CARE,24.05,0.5318
844,Store_32 - LADIESWEAR,,
845,Store_32 - LAWN_AND_GARDEN,,
846,Store_32 - LINGERIE,123.29,0.15588
847,Store_32 - LIQUOR_WINE_BEER,167.97,0.76145
848,Store_32 - MAGAZINES,65.9,0.02604
849,Store_32 - MEATS,25.23,0.21817
850,Store_32 - PERSONAL_CARE,16.84,0.61536
851,Store_32 - PET_SUPPLIES,60.03,0.09342
852,Store_32 - PLAYERS_AND_ELECTRONICS,57.32,0.0326
853,Store_32 - POULTRY,33.23,0.06722
854,Store_32 - PREPARED_FOODS,40.7,0.15987
855,Store_32 - PRODUCE,10.97,0.92781
856,Store_32 - SCHOOL_AND_OFFICE_SUPPLIES,,
857,Store_32 - SEAFOOD,38.7,0.34731
858,Store_33 - AUTOMOTIVE,80.13,0.03453
859,Store_33 - BABY_CARE,,
860,Store_33 - BEAUTY,53.44,0.02376
861,Store_33 - BEVERAGES,17.48,0.19072
862,Store_33 - BOOKS,,
863,Store_33 - BREAD/BAKERY,14.11,0.78927
864,Store_33 - CELEBRATION,106.75,0.04347
865,Store_33 - CLEANING,16.23,0.27539
866,Store_33 - DAIRY,13.44,0.60831
867,Store_33 - DELI,12.82,0.23707
868,Store_33 - EGGS,47.85,0.62636
869,Store_33 - FROZEN_FOODS,35.08,0.70467
870,Store_33 - GROCERY_I,8.14,0.45785
871,Store_33 - GROCERY_II,39.78,0.09883
872,Store_33 - HARDWARE,75.98,0.01552
873,Store_33 - HOME_AND_KITCHEN_I,35.11,0.26121
874,Store_33 - HOME_AND_KITCHEN_II,41.16,0.42664
875,Store_33 - HOME_APPLIANCES,76.0,0.11359
876,Store_33 - HOME_CARE,18.07,0.43387
877,Store_33 - LADIESWEAR,,
878,Store_33 - LAWN_AND_GARDEN,,
879,Store_33 - LINGERIE,38.81,0.02432
880,Store_33 - LIQUOR_WINE_BEER,93.64,0.35766
881,Store_33 - MAGAZINES,57.37,0.00015
882,Store_33 - MEATS,32.94,0.20758
883,Store_33 - PERSONAL_CARE,20.5,0.38513
884,Store_33 - PET_SUPPLIES,66.41,0.01968
885,Store_33 - PLAYERS_AND_ELECTRONICS,93.75,0.0007
886,Store_33 - POULTRY,25.55,0.28839
887,Store_33 - PREPARED_FOODS,84.47,0.00445
888,Store_33 - PRODUCE,11.89,0.85477
889,Store_33 - SCHOOL_AND_OFFICE_SUPPLIES,,
890,Store_33 - SEAFOOD,68.99,0.46525
891,Store_34 - AUTOMOTIVE,102.36,0.05068
892,Store_34 - BABY_CARE,72.43,0.01668
893,Store_34 - BEAUTY,81.89,0.23962
894,Store_34 - BEVERAGES,7.18,0.49705
895,Store_34 - BOOKS,,
896,Store_34 - BREAD/BAKERY,10.84,0.21821
897,Store_34 - CELEBRATION,36.44,0.04594
898,Store_34 - CLEANING,14.72,0.21532
899,Store_34 - DAIRY,12.92,0.32763
